Fund Name,URL
Mutual Fund Overview Page,https://groww.in/mutual-funds/amc/hdfc-mutual-funds
HDFC Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-mid-cap-fund-direct-growth
HDFC Focused Fund Direct Growth,https://groww.in/mutual-funds/hdfc-focused-fund-direct-growth
HDFC Flexi Cap Direct Plan Growth,https://groww.in/mutual-funds/hdfc-equity-fund-direct-growth
HDFC ELSS Tax Saver Fund Direct Plan Growth,https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth
HDFC Retirement Savings Fund Equity Plan Direct Growth,https://groww.in/mutual-funds/hdfc-retirement-savings-fund-equity-plan-direct-growth
HDFC Balanced Advantage Fund Direct Growth,https://groww.in/mutual-funds/hdfc-balanced-advantage-fund-direct-growth
HDFC Large Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-growth
HDFC Income Plus Arbitrage Active FoF Direct Growth,https://groww.in/mutual-funds/hdfc-i-come-plus-arbitrage-active-fof-direct-growth
HDFC Short Term Debt Fund Direct Plan Growth,https://groww.in/mutual-funds/hdfc-short-term-opportunities-fund-direct-growth
HDFC Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/hdfc-infrastructure-fund-direct-growth
HDFC Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-multi-cap-fund-direct-growth
HDFC Small Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-small-cap-fund-direct-growth
HDFC Large and Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-large-and-mid-cap-fund-direct-growth
HDFC Multi Asset Active FoF Direct Growth,https://groww.in/mutual-funds/hdfc-multi-asset-active-fof-direct-growth
HDFC NIFTY50 Equal Weight Index Fund Direct Growth,https://groww.in/mutual-funds/hdfc-nifty50-equal-weight-index-fund-direct-growth
HDFC Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/hdfc-banking-financial-services-fund-direct-growth
HDFC NIFTY 100 Equal Weight Index Fund Direct Growth,https://groww.in/mutual-funds/hdfc-nifty-100-equal-weight-index-fund-direct-growth
HDFC NIFTY Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/hdfc-nifty-next-50-index-fund-direct-growth
HDFC Credit Risk Debt Fund Direct Growth,https://groww.in/mutual-funds/hdfc-corporate-debt-opportunities-fund-direct-growth
